2L 8 x 8 x 1 1/8,8,8,1.125,1.75,114,33.6,196,35,2.41,2.4,3.41,3.54,3.68,4.56,0.837
2L 8 x 8 x 1,8,8,1,1.625,103,30.2,178,31.6,2.43,2.36,3.39,3.52,3.66,4.56,0.834
2L 8 x 8 x 7/8,8,8,0.875,1.5,90.6,26.6,159,28,2.45,2.31,3.36,3.5,3.63,4.56,0.831
2L 8 x 8 x 3/4,8,8,0.75,1.375,78.4,23,140,24.4,2.46,2.26,3.34,3.47,3.61,4.56,0.829
2L 8 x 8 x 5/8,8,8,0.625,1.25,66,19.4,119,20.6,2.48,2.21,3.32,3.45,3.58,4.56,0.826
2L 8 x 8 x 9/16,8,8,0.5625,1.1875,59.7,17.5,108,18.7,2.49,2.19,3.31,3.44,3.57,4.56,0.825
2L 8 x 8 x 1/2,8,8,0.5,1.125,53.3,15.7,97.5,16.7,2.49,2.17,3.3,3.43,3.56,4.56,0.824
2L 6 x 6 x 1,6,6,1,1.5,75,22,70.8,17.1,1.79,1.86,2.58,2.72,2.86,3.42,0.843
2L 6 x 6 x 7/8,6,6,0.875,1.375,66.4,19.5,63.8,15.2,1.81,1.81,2.56,2.7,2.84,3.42,0.839
2L 6 x 6 x 3/4,6,6,0.75,1.25,57.6,16.9,56.2,13.3,1.82,1.77,2.54,2.67,2.81,3.42,0.835
2L 6 x 6 x 5/8,6,6,0.625,1.125,48.5,14.3,48.2,11.3,1.84,1.72,2.52,2.65,2.79,3.42,0.831
2L 6 x 6 x 9/16,6,6,0.5625,1.0625,43.9,12.9,44.1,10.2,1.85,1.7,2.51,2.64,2.78,3.42,0.829
2L 6 x 6 x 1/2,6,6,0.5,1,39.3,11.5,39.7,9.18,1.86,1.67,2.5,2.63,2.76,3.42,0.827
2L 6 x 6 x 7/16,6,6,0.4375,0.9375,34.6,10.2,35.3,8.11,1.86,1.65,2.49,2.62,2.75,3.42,0.826
2L 6 x 6 x 3/8,6,6,0.375,0.875,29.8,8.76,30.7,7.01,1.87,1.62,2.48,2.6,2.74,3.42,0.824
2L 6 x 6 x 5/16,6,6,0.3125,0.8125,25,7.34,26,5.9,1.88,1.6,2.47,2.59,2.72,3.42,0.823
2L 5 x 5 x 7/8,5,5,0.875,1.375,54.6,16,35.5,10.3,1.49,1.56,2.16,2.3,2.44,2.85,0.845
2L 5 x 5 x 3/4,5,5,0.75,1.25,47.5,14,31.5,9.04,1.5,1.52,2.13,2.27,2.41,2.85,0.84
2L 5 x 5 x 5/8,5,5,0.625,1.125,40.1,11.8,27.2,7.7,1.52,1.47,2.11,2.25,2.39,2.85,0.835
2L 5 x 5 x 1/2,5,5,0.5,1,32.6,9.58,22.5,6.29,1.53,1.42,2.09,2.22,2.36,2.85,0.83
2L 5 x 5 x 7/16,5,5,0.4375,0.9375,28.7,8.44,20.1,5.57,1.54,1.4,2.08,2.21,2.35,2.85,0.828
2L 5 x 5 x 3/8,5,5,0.375,0.875,24.8,7.3,17.5,4.83,1.55,1.37,2.07,2.2,2.34,2.84,0.826
2L 5 x 5 x 5/16,5,5,0.3125,0.8125,20.9,6.13,14.9,4.07,1.56,1.35,2.06,2.19,2.32,2.84,0.825
2L 4 x 4 x 3/4,4,4,0.75,1.125,37,10.9,15.2,5.58,1.18,1.27,1.73,1.88,2.03,2.28,0.847
2L 4 x 4 x 5/8,4,4,0.625,1,31.3,9.21,13.2,4.77,1.2,1.22,1.71,1.85,2,2.28,0.841
2L 4 x 4 x 1/2,4,4,0.5,0.875,25.5,7.49,11,3.91,1.21,1.18,1.69,1.83,1.97,2.28,0.834
2L 4 x 4 x 7/16,4,4,0.4375,0.8125,22.5,6.61,9.87,3.47,1.22,1.15,1.68,1.81,1.96,2.28,0.832
2L 4 x 4 x 3/8,4,4,0.375,0.75,19.4,5.71,8.64,3.01,1.23,1.13,1.67,1.8,1.94,2.28,0.829
2L 4 x 4 x 5/16,4,4,0.3125,0.6875,16.3,4.8,7.35,2.54,1.24,1.11,1.66,1.79,1.93,2.28,0.826
2L 4 x 4 x 1/4,4,4,0.25,0.625,13.2,3.87,6,2.05,1.25,1.08,1.65,1.78,1.91,2.28,0.824
2L 3 1/2 x 3 1/2 x 1/2,3.5,3.5,0.5,0.875,22.2,6.53,7.25,2.96,1.05,1.05,1.49,1.63,1.77,1.99,0.838
2L 3 1/2 x 3 1/2 x 7/16,3.5,3.5,0.4375,0.8125,19.6,5.77,6.51,2.63,1.06,1.03,1.48,1.61,1.76,1.99,0.835
2L 3 1/2 x 3 1/2 x 3/8,3.5,3.5,0.375,0.75,17,5,5.72,2.29,1.07,1,1.47,1.6,1.74,1.99,0.832
2L 3 1/2 x 3 1/2 x 5/16,3.5,3.5,0.3125,0.6875,14.3,4.21,4.89,1.94,1.08,0.979,1.46,1.59,1.73,1.99,0.829
2L 3 1/2 x 3 1/2 x 1/4,3.5,3.5,0.25,0.625,11.6,3.41,4.01,1.57,1.09,0.954,1.44,1.57,1.72,1.99,0.826
2L 3 x 3 x 1/2,3,3,0.5,0.875,18.7,5.5,4.41,2.13,0.895,0.929,1.29,1.43,1.58,1.71,0.842
2L 3 x 3 x 7/16,3,3,0.4375,0.8125,16.6,4.86,3.96,1.89,0.903,0.907,1.28,1.42,1.57,1.71,0.838
2L 3 x 3 x 3/8,3,3,0.375,0.75,14.3,4.22,3.49,1.65,0.91,0.884,1.27,1.41,1.55,1.71,0.834
2L 3 x 3 x 5/16,3,3,0.3125,0.6875,12.1,3.55,2.99,1.4,0.918,0.86,1.26,1.39,1.54,1.71,0.83
2L 3 x 3 x 1/4,3,3,0.25,0.625,9.77,2.87,2.46,1.14,0.926,0.836,1.25,1.38,1.52,1.71,0.827
2L 3 x 3 x 3/16,3,3,0.1875,0.5625,7.41,2.18,1.9,0.867,0.933,0.812,1.24,1.37,1.51,1.71,0.823
2L 2 1/2 x 2 1/2 x 1/2,2.5,2.5,0.5,0.75,15.3,4.5,2.43,1.43,0.735,0.803,1.09,1.23,1.39,1.43,0.85
2L 2 1/2 x 2 1/2 x 3/8,2.5,2.5,0.375,0.625,11.8,3.47,1.94,1.12,0.749,0.758,1.07,1.21,1.36,1.42,0.839
2L 2 1/2 x 2 1/2 x 5/16,2.5,2.5,0.3125,0.5625,9.96,2.93,1.67,0.949,0.756,0.735,1.05,1.19,1.34,1.42,0.834
2L 2 1/2 x 2 1/2 x 1/4,2.5,2.5,0.25,0.5,8.07,2.37,1.38,0.773,0.764,0.711,1.04,1.18,1.33,1.42,0.829
2L 2 1/2 x 2 1/2 x 3/16,2.5,2.5,0.1875,0.4375,6.13,1.8,1.07,0.59,0.771,0.687,1.03,1.17,1.31,1.42,0.825
2L 2 x 2 x 3/8,2,2,0.375,0.625,9.3,2.73,0.953,0.696,0.591,0.632,0.865,1.01,1.17,1.14,0.847
2L 2 x 2 x 5/16,2,2,0.3125,0.5625,7.89,2.32,0.828,0.595,0.598,0.609,0.853,0.996,1.15,1.14,0.841
2L 2 x 2 x 1/4,2,2,0.25,0.5,6.43,1.89,0.691,0.489,0.605,0.586,0.842,0.982,1.14,1.13,0.835
2L 2 x 2 x 3/16,2,2,0.1875,0.4375,4.91,1.44,0.541,0.376,0.612,0.561,0.831,0.967,1.12,1.13,0.83
2L 2 x 2 x 1/8,2,2,0.125,0.375,3.34,0.982,0.377,0.257,0.62,0.534,0.818,0.951,1.1,1.13,0.826
2L 8 x 6 x 1,8,6,1,1.5,88.8,26.1,162,30.2,2.49,2.65,2.39,2.52,2.66,4.06,0.721
2L 8 x 6 x 7/8,8,6,0.875,1.375,78.5,23.1,145,26.8,2.5,2.6,2.37,2.5,2.63,4.07,0.718
2L 8 x 6 x 3/4,8,6,0.75,1.25,68,20,127,23.3,2.52,2.55,2.35,2.47,2.61,4.07,0.714
2L 8 x 6 x 5/8,8,6,0.625,1.125,57.3,16.8,108,19.7,2.54,2.5,2.33,2.45,2.59,4.08,0.712
2L 8 x 6 x 9/16,8,6,0.5625,1.0625,51.8,15.2,98.7,17.9,2.55,2.48,2.32,2.44,2.58,4.09,0.71
2L 8 x 6 x 1/2,8,6,0.5,1,46.3,13.6,88.8,16,2.55,2.46,2.31,2.43,2.56,4.09,0.709
2L 8 x 6 x 7/16,8,6,0.4375,0.9375,40.7,12,78.7,14.1,2.56,2.43,2.3,2.42,2.55,4.09,0.708
2L 8 x 4 x 1,8,4,1,1.5,75.2,22.1,139,28.1,2.51,3.03,1.46,1.6,1.75,3.86,0.568
2L 8 x 4 x 7/8,8,4,0.875,1.375,66.6,19.6,125,25,2.53,2.99,1.44,1.57,1.72,3.87,0.566
2L 8 x 4 x 3/4,8,4,0.75,1.25,57.8,17,110,21.7,2.55,2.94,1.42,1.55,1.69,3.88,0.564
2L 8 x 4 x 5/8,8,4,0.625,1.125,48.7,14.3,94.1,18.4,2.56,2.89,1.39,1.52,1.66,3.89,0.562
2L 8 x 4 x 9/16,8,4,0.5625,1.0625,44.1,13,85.7,16.7,2.57,2.86,1.38,1.51,1.65,3.9,0.562
2L 8 x 4 x 1/2,8,4,0.5,1,39.5,11.6,77.2,15,2.58,2.84,1.38,1.5,1.63,3.9,0.561
2L 8 x 4 x 7/16,8,4,0.4375,0.9375,34.8,10.2,68.5,13.2,2.59,2.81,1.37,1.49,1.62,3.91,0.561
2L 7 x 4 x 3/4,7,4,0.75,1.25,52.4,15.4,75.6,16.8,2.21,2.5,1.48,1.61,1.75,3.41,0.611
2L 7 x 4 x 5/8,7,4,0.625,1.125,44.2,13,64.7,14.2,2.23,2.45,1.45,1.58,1.73,3.42,0.608
2L 7 x 4 x 1/2,7,4,0.5,1,35.8,10.5,53.3,11.6,2.25,2.4,1.44,1.56,1.7,3.43,0.606
2L 7 x 4 x 7/16,7,4,0.4375,0.9375,31.5,9.27,47.3,10.2,2.26,2.38,1.43,1.55,1.68,3.43,0.605
2L 7 x 4 x 3/8,7,4,0.375,0.875,27.2,8,41.1,8.83,2.27,2.35,1.42,1.54,1.67,3.44,0.605
2L 6 x 4 x 7/8,6,4,0.875,1.375,54.3,16,55.4,14.3,1.86,2.12,1.57,1.71,1.86,2.96,0.678
2L 6 x 4 x 3/4,6,4,0.75,1.25,47.2,13.9,48.9,12.5,1.88,2.07,1.55,1.68,1.83,2.97,0.673
2L 6 x 4 x 5/8,6,4,0.625,1.125,39.9,11.7,42,10.6,1.89,2.03,1.53,1.66,1.8,2.98,0.669
2L 6 x 4 x 9/16,6,4,0.5625,1.0625,36.1,10.6,38.4,9.61,1.9,2,1.52,1.65,1.79,2.98,0.667
2L 6 x 4 x 1/2,6,4,0.5,1,32.3,9.5,34.7,8.63,1.91,1.98,1.51,1.64,1.77,2.99,0.665
2L 6 x 4 x 7/16,6,4,0.4375,0.9375,28.5,8.36,30.8,7.62,1.92,1.95,1.5,1.62,1.76,2.99,0.663
2L 6 x 4 x 3/8,6,4,0.375,0.875,24.6,7.22,26.8,6.59,1.93,1.93,1.49,1.61,1.75,2.99,0.662
2L 6 x 4 x 5/16,6,4,0.3125,0.8125,20.6,6.05,22.7,5.55,1.94,1.9,1.48,1.6,1.74,3,0.661
2L 6 x 3 1/2 x 1/2,6,3.5,0.5,1,30.7,9.04,33.2,8.45,1.92,2.07,1.27,1.4,1.54,2.94,0.615
2L 6 x 3 1/2 x 3/8,6,3.5,0.375,0.875,23.4,6.88,25.7,6.47,1.93,2.02,1.26,1.38,1.52,2.95,0.613
2L 6 x 3 1/2 x 5/16,6,3.5,0.3125,0.8125,19.7,5.78,21.8,5.45,1.94,2,1.25,1.37,1.5,2.95,0.612
2L 5 x 3 1/2 x 3/4,5,3.5,0.75,1.1875,39.6,11.6,27.8,8.52,1.55,1.74,1.39,1.53,1.68,2.49,0.699
2L 5 x 3 1/2 x 5/8,5,3.5,0.625,1.0625,33.5,9.85,24,7.26,1.56,1.69,1.37,1.5,1.65,2.49,0.693
2L 5 x 3 1/2 x 1/2,5,3.5,0.5,0.9375,27.2,8.01,19.9,5.94,1.58,1.65,1.35,1.48,1.62,2.5,0.688
2L 5 x 3 1/2 x 3/8,5,3.5,0.375,0.8125,20.8,6.1,15.5,4.56,1.59,1.6,1.33,1.46,1.59,2.51,0.683
2L 5 x 3 1/2 x 5/16,5,3.5,0.3125,0.75,17.4,5.12,13.2,3.84,1.6,1.57,1.32,1.44,1.58,2.51,0.682
2L 5 x 3 1/2 x 1/4,5,3.5,0.25,0.6875,14.1,4.13,10.7,3.1,1.61,1.55,1.31,1.43,1.57,2.52,0.68
2L 5 x 3 x 1/2,5,3,0.5,0.9375,25.5,7.51,18.9,5.79,1.58,1.74,1.11,1.24,1.39,2.44,0.628
2L 5 x 3 x 7/16,5,3,0.4375,0.875,22.5,6.62,16.8,5.12,1.59,1.72,1.1,1.23,1.38,2.45,0.626
2L 5 x 3 x 3/8,5,3,0.375,0.8125,19.5,5.73,14.7,4.44,1.6,1.69,1.09,1.22,1.36,2.45,0.624
2L 5 x 3 x 5/16,5,3,0.3125,0.75,16.4,4.81,12.5,3.74,1.61,1.67,1.08,1.21,1.35,2.46,0.623
2L 5 x 3 x 1/4,5,3,0.25,0.6875,13.2,3.88,10.2,3.03,1.62,1.64,1.07,1.19,1.33,2.46,0.622
2L 4 x 3 1/2 x 1/2,4,3.5,0.5,0.875,23.8,7.01,10.6,3.84,1.23,1.24,1.44,1.57,1.72,2.14,0.784
2L 4 x 3 1/2 x 3/8,4,3.5,0.375,0.75,18.2,5.35,8.3,2.96,1.25,1.2,1.42,1.55,1.69,2.14,0.778
2L 4 x 3 1/2 x 5/16,4,3.5,0.3125,0.6875,15.3,4.5,7.07,2.5,1.25,1.17,1.4,1.53,1.68,2.14,0.775
2L 4 x 3 1/2 x 1/4,4,3.5,0.25,0.625,12.4,3.63,5.78,2.02,1.26,1.14,1.39,1.52,1.66,2.14,0.773
2L 4 x 3 x 5/8,4,3,0.625,1,27.1,7.98,12,4.56,1.23,1.37,1.21,1.35,1.5,2.02,0.728
2L 4 x 3 x 1/2,4,3,0.5,0.875,22.1,6.51,10,3.75,1.24,1.32,1.19,1.32,1.47,2.02,0.721
2L 4 x 3 x 3/8,4,3,0.375,0.75,16.9,4.98,7.88,2.89,1.26,1.27,1.17,1.3,1.44,2.03,0.715
2L 4 x 3 x 5/16,4,3,0.3125,0.6875,14.2,4.19,6.72,2.44,1.27,1.25,1.16,1.29,1.43,2.03,0.712
2L 4 x 3 x 1/4,4,3,0.25,0.625,11.5,3.38,5.49,1.98,1.27,1.22,1.15,1.27,1.41,2.03,0.71
