LI 203 x 203 x 29,203,203,29,44,85.12,108.4,4083.2,286.77,6.12,6.10,4083.2,286.77,6.12,6.10,3.96,1,296.8,8727.4,10.90,0.633
LI 203 x 203 x 25,203,203,25,41,76.34,97.4,3708.6,258.92,6.17,5.99,3708.6,258.92,6.17,5.99,3.96,1,211.4,6283.7,10.97,0.63
LI 203 x 203 x 22,203,203,22,38,67.41,85.8,3317.4,229.42,6.22,5.87,3317.4,229.42,6.22,5.87,3.99,1,144.0,4323.4,11.07,0.631
LI 203 x 203 x 19,203,203,19,35,58.34,74.2,2909.5,199.92,6.25,5.74,2909.5,199.92,6.25,5.74,3.99,1,92.0,2792.8,11.15,0.631
LI 203 x 203 x 16,203,203,16,32,49.11,62.5,2480.7,168.79,6.30,5.61,2480.7,168.79,6.30,5.61,4.01,1,54.1,1654.2,11.20,0.631
LI 203 x 203 x 14,203,203,14,30,44.35,56.6,2256.0,152.89,6.32,5.56,2256.0,152.89,6.32,5.56,4.01,1,40.0,1221.8,11.25,0.629
LI 203 x 203 x 13,203,203,13,29,39.73,50.6,2031.2,137.00,6.32,5.51,2031.2,137.00,6.32,5.51,4.04,1,28.4,867.4,11.30,0.628
LI 152 x 152 x 25,152,152,25,38,55.81,71.0,1473.5,140.11,4.55,4.72,1473.5,140.11,4.55,4.72,2.97,1,153.2,2481.3,8.10,0.635
LI 152 x 152 x 22,152,152,22,35,49.41,62.9,1327.8,124.71,4.60,4.60,1327.8,124.71,4.60,4.60,2.97,1,104.5,1721.3,8.15,0.635
LI 152 x 152 x 19,152,152,19,32,42.86,54.6,1169.6,108.81,4.62,4.50,1169.6,108.81,4.62,4.50,2.97,1,67.0,1119.8,8.26,0.631
LI 152 x 152 x 16,152,152,16,29,36.16,46.0,1003.1,92.42,4.67,4.37,1003.1,92.42,4.67,4.37,2.97,1,39.8,671.3,8.33,0.631
LI 152 x 152 x 14,152,152,14,27,32.74,41.6,915.7,83.90,4.70,4.32,915.7,83.90,4.70,4.32,3.00,1,29.3,496.8,8.36,0.629
LI 152 x 152 x 13,152,152,13,25,29.17,37.2,828.3,75.22,4.72,4.24,828.3,75.22,4.72,4.24,3.00,1,20.9,354.5,8.38,0.631
LI 152 x 152 x 11,152,152,11,24,25.75,32.8,732.6,66.53,4.72,4.19,732.6,66.53,4.72,4.19,3.00,1,14.2,241.4,8.43,0.629
LI 152 x 152 x 10,152,152,10,22,22.17,28.3,641.0,57.52,4.75,4.11,641.0,57.52,4.75,4.11,3.02,1,9.1,154.4,8.46,0.63
LI 152 x 152 x 8,152,152,8,21,18.60,23.7,541.1,48.34,4.78,4.06,541.1,48.34,4.78,4.06,3.02,1,5.4,90.8,8.51,0.63
LI 127 x 127 x 22,127,127,22,35,40.63,51.7,740.9,84.56,3.78,3.96,740.9,84.56,3.78,3.96,2.47,1,86.2,947.9,6.71,0.638
LI 127 x 127 x 19,127,127,19,32,35.27,45.0,653.5,74.07,3.81,3.86,653.5,74.07,3.81,3.86,2.47,1,55.4,623.0,6.78,0.632
LI 127 x 127 x 16,127,127,16,29,29.91,38.1,566.1,63.09,3.86,3.73,566.1,63.09,3.86,3.73,2.48,1,33.0,376.0,6.86,0.633
LI 127 x 127 x 13,127,127,13,25,24.26,30.9,470.3,51.62,3.89,3.61,470.3,51.62,3.89,3.61,2.49,1,17.4,199.8,6.93,0.632
LI 127 x 127 x 11,127,127,11,24,21.43,27.2,416.2,45.56,3.91,3.56,416.2,45.56,3.91,3.56,2.50,1,11.8,136.4,6.99,0.63
LI 127 x 127 x 10,127,127,10,22,18.45,23.5,364.6,39.49,3.94,3.48,364.6,39.49,3.94,3.48,2.50,1,7.6,87.8,7.01,0.632
LI 127 x 127 x 8,127,127,8,21,15.48,19.8,309.7,33.43,3.96,3.43,309.7,33.43,3.96,3.43,2.51,1,4.5,51.8,7.06,0.63
LI 102 x 102 x 19,102,102,19,29,27.53,35.0,317.2,45.72,3.00,3.23,317.2,45.72,3.00,3.23,1.97,1,42.5,300.8,5.33,0.637
LI 102 x 102 x 16,102,102,16,25,23.36,29.7,275.5,39.00,3.05,3.10,275.5,39.00,3.05,3.10,1.97,1,25.4,182.6,5.41,0.636
LI 102 x 102 x 13,102,102,13,22,18.90,24.2,229.8,32.12,3.07,3.00,229.8,32.12,3.07,3.00,1.97,1,13.4,98.3,5.49,0.63
LI 102 x 102 x 11,102,102,11,21,16.67,21.3,205.2,28.35,3.10,2.92,205.2,28.35,3.10,2.92,1.97,1,9.2,67.7,5.51,0.633
LI 102 x 102 x 10,102,102,10,19,14.46,18.5,179.8,24.58,3.12,2.87,179.8,24.58,3.12,2.87,1.98,1,5.9,43.5,5.56,0.629
LI 102 x 102 x 8,102,102,8,17,12.14,15.5,152.8,20.81,3.15,2.82,152.8,20.81,3.15,2.82,1.98,1,3.5,25.9,5.61,0.627
LI 102 x 102 x 6,102,102,6,16,9.79,12.5,124.9,16.88,3.18,2.74,124.9,16.88,3.18,2.74,1.99,1,1.8,13.6,5.64,0.63
LI 89 x 89 x 13,89,89,13,22,16.52,21.1,151.1,24.25,2.67,2.67,151.1,24.25,2.67,2.67,1.72,1,11.7,63.9,4.75,0.634
LI 89 x 89 x 11,89,89,11,21,14.61,18.6,135.3,21.63,2.69,2.62,135.3,21.63,2.69,2.62,1.73,1,8.0,44.0,4.80,0.631
LI 89 x 89 x 10,89,89,10,19,12.66,16.1,119.0,18.85,2.72,2.54,119.0,18.85,2.72,2.54,1.73,1,5.1,28.5,4.83,0.634
LI 89 x 89 x 8,89,89,8,17,10.66,13.5,101.6,15.88,2.74,2.49,101.6,15.88,2.74,2.49,1.74,1,3.0,17.0,4.88,0.632
LI 89 x 89 x 6,89,89,6,16,8.62,11.0,83.2,12.90,2.77,2.42,83.2,12.90,2.77,2.42,1.75,1,1.6,9.0,4.90,0.632
LI 76 x 76 x 13,76,76,13,22,13.91,17.7,91.6,17.37,2.27,2.36,91.6,17.37,2.27,2.36,1.47,1,9.6,38.7,4.04,0.635
LI 76 x 76 x 11,76,76,11,21,12.32,15.7,82.4,15.50,2.29,2.30,82.4,15.50,2.29,2.30,1.47,1,6.5,26.9,4.09,0.632
LI 76 x 76 x 10,76,76,10,19,10.67,13.6,72.8,13.52,2.31,2.25,72.8,13.52,2.31,2.25,1.48,1,4.2,17.5,4.11,0.63
LI 76 x 76 x 8,76,76,8,17,8.99,11.5,62.4,11.45,2.33,2.18,62.4,11.45,2.33,2.18,1.48,1,2.5,10.5,4.14,0.629
LI 76 x 76 x 6,76,76,6,16,7.28,9.3,51.2,9.32,2.35,2.12,51.2,9.32,2.35,2.12,1.49,1,1.3,5.5,4.19,0.628
LI 76 x 76 x 5,76,76,5,14,5.51,7.0,39.5,7.10,2.37,2.06,39.5,7.10,2.37,2.06,1.49,1,0.6,2.4,4.22,0.627
LI 64 x 64 x 13,64,64,13,19,11.38,14.5,50.8,11.73,1.87,2.04,50.8,11.73,1.87,2.04,1.22,1,7.8,21.2,3.30,0.639
LI 64 x 64 x 10,64,64,10,16,8.78,11.2,40.5,9.14,1.90,1.93,40.5,9.14,1.90,1.93,1.22,1,3.5,9.7,3.38,0.633
LI 64 x 64 x 8,64,64,8,14,7.41,9.4,34.8,7.77,1.92,1.87,34.8,7.77,1.92,1.87,1.22,1,2.1,5.9,3.43,0.632
LI 64 x 64 x 6,64,64,6,13,6.01,7.7,28.8,6.34,1.94,1.81,28.8,6.34,1.94,1.81,1.22,1,1.1,3.1,3.45,0.629
LI 64 x 64 x 5,64,64,5,11,4.55,5.8,22.3,4.83,1.96,1.74,22.3,4.83,1.96,1.74,1.22,1,0.5,1.4,3.51,0.628
LI 51 x 51 x 10,51,51,10,16,6.92,8.8,19.8,5.70,1.50,1.61,19.8,5.70,1.50,1.61,0.98,1,2.7,4.7,2.64,0.638
LI 51 x 51 x 8,51,51,8,14,5.86,7.5,17.2,4.88,1.52,1.55,17.2,4.88,1.52,1.55,0.98,1,1.6,2.8,2.69,0.635
LI 51 x 51 x 6,51,51,6,13,4.78,6.1,14.4,4.00,1.54,1.49,14.4,4.00,1.54,1.49,0.98,1,0.9,1.5,2.74,0.633
LI 51 x 51 x 5,51,51,5,11,3.66,4.7,11.3,3.08,1.55,1.42,11.3,3.08,1.55,1.42,0.99,1,0.4,0.7,2.77,0.632
LI 51 x 51 x 3,51,51,3,10,2.49,3.2,7.9,2.11,1.57,1.36,7.9,2.11,1.57,1.36,0.99,1,0.1,0.2,2.79,0.633
LI 44 x 44 x 6,44,44,6,13,4.12,5.2,9.4,3.05,1.34,1.34,9.4,3.05,1.34,1.34,0.87,1,0.8,1.0,2.39,0.631
LI 44 x 44 x 5,44,44,5,11,3.15,4.0,7.5,2.36,1.36,1.29,7.5,2.36,1.36,1.29,0.87,1,0.3,0.4,2.43,0.629
LI 38 x 38 x 6,38,38,6,11,3.48,4.4,5.8,2.20,1.14,1.18,5.8,2.20,1.14,1.18,0.74,1,0.7,0.6,2.03,0.635
LI 38 x 38 x 5,38,38,5,10,2.68,3.4,4.6,1.70,1.16,1.13,4.6,1.70,1.16,1.13,0.74,1,0.3,0.3,2.07,0.63
LI 32 x 32 x 6,32,32,6,11,2.86,3.6,3.2,1.49,0.94,1.02,3.2,1.49,0.94,1.02,0.62,1,0.5,0.3,1.66,0.639
LI 32 x 32 x 5,32,32,5,10,2.20,2.8,2.5,1.16,0.96,0.97,2.5,1.16,0.96,0.97,0.62,1,0.2,0.2,1.70,0.63
LI 29 x 29 x 3,29,29,3,6,1.34,1.7,1.3,0.66,0.88,0.83,1.3,0.66,0.88,0.83,0.56,1,0.1,0.0,1.57,0.632
LI 25 x 25 x 3,25,25,3,6,1.19,1.5,0.9,0.51,0.77,0.75,0.9,0.51,0.77,0.75,0.50,1,0.1,0.0,1.38,0.633
